target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,cs_cue,cs_target,cs_word_combo,unrelated_cs_cue
Jůlie,742.754289466245,903.69575554755,-0.202751339471986,0.455739804546618,39.4401765710062,38.9403677926903,0.126693809823055,0.140585657714238,83,117,4,6,76,90,80,108,0,3,0.95,0.833333333333333,81,117,6,6,59,107,78,108,2,3,0.756410256410256,0.990740740740741,76,90,160.941466081305,0.658491144018605,cs,,,,,,
absence,811.558711867502,773.796031249933,0.0610793857713356,-0.105845288089821,39.9541805595513,30.6076972624495,0.108723214977019,0.0835635424091717,66,67,2,5,59,64,60,64,1,2,0.983333333333333,1,66,67,2,5,59,63,60,64,1,2,0.983333333333333,0.984375,59,64,-37.7626806175692,-0.166924673861156,cs,presence,absence,přítomnost,absence,přítomnostabsence,drak
absolvovat,843.06396826057,834.760924249099,0.113656026937866,0.241608653879022,43.732970116723,38.0021257134234,0.131460299984762,0.132891005904939,71,75,2,2,63,66,66,67,0,2,0.954545454545455,0.985074626865672,71,76,2,1,66,50,66,68,0,1,1,0.735294117647059,63,66,-8.30304401147021,0.127952626941156,cs,diploma,graduate,diplom,absolvovat,diplomabsolvovat,arzenál
absurdní,808.902352110779,851.574308816204,0.0891415368059074,0.114578010665234,35.668732055198,29.6592637632524,0.14346276759949,0.0804646316896713,78,81,5,4,71,68,71,71,2,1,1,0.957746478873239,78,82,5,3,70,70,71,72,2,0,0.985915492957746,0.972222222222222,71,68,42.6719567054255,0.0254364738593263,cs,ridiculous,absurd,směšný,absurdní,směšnýabsurdní,data
adrenalin,821.686250000424,827.16850725349,-0.0485141362517285,0.141558458533621,29.6808227312149,25.6672464314899,0.0737512662256606,0.0841940494717895,82,76,4,1,72,69,73,70,1,0,0.986301369863014,0.985714285714286,82,76,4,1,68,70,74,70,0,0,0.918918918918919,1,72,69,5.48225725306577,0.190072594785349,cs,hormone,adrenaline,hormon,adrenalin,hormonadrenalin,malovat
adresa,636.942780829003,684.020162177933,-0.627821188113765,-0.464827335753405,18.5054438428862,32.231273145072,0.0581669348354073,0.111535230936779,80,80,6,0,73,74,74,74,2,0,0.986486486486487,1,81,80,5,0,73,72,75,74,1,0,0.973333333333333,0.972972972972973,73,74,47.07738134893,0.16299385236036,cs,number,address,číslo,adresa,čísloadresa,skutečný
agentura,724.039514705601,695.702302617133,-0.256308425587224,-0.371054503266382,31.3457901452661,20.1365669582514,0.100603960608766,0.0548184349761282,73,82,2,4,68,76,68,76,0,1,1,1,73,82,2,4,68,73,68,76,0,1,1,0.960526315789474,68,76,-28.3372120884675,-0.114746077679158,cs,firm,agency,firma,agentura,firmaagentura,baron
aktivita,688.8216087088,704.811342827673,-0.493073726145759,-0.355707948623332,32.5595688960858,28.5509603241754,0.0670860144022005,0.0898549191817024,75,76,7,4,69,70,70,70,0,1,0.985714285714286,1,76,75,6,5,69,68,70,69,0,2,0.985714285714286,0.985507246376812,69,70,15.9897341188731,0.137365777522427,cs,active,activity,aktivní,aktivita,aktivníaktivita,voják
aktivovat,751.441630430856,726.185202519986,-0.15496344124423,-0.27077299555295,33.7623016873624,19.8555573065124,0.111489237430963,0.0696576871276923,103,85,1,3,92,79,93,79,1,0,0.989247311827957,1,104,85,0,3,91,76,94,79,0,0,0.968085106382979,0.962025316455696,92,79,-25.2564279108697,-0.115809554308721,cs,trigger,activate,spustit,aktivovat,spustitaktivovat,analytik
alarm,716.065676925497,741.996194031832,-0.352956977583986,-0.142346803132393,28.3154238649882,23.8177604021537,0.0724497083496827,0.0795387498813192,71,78,4,1,65,67,65,68,0,1,1,0.985294117647059,71,77,4,2,64,68,65,68,0,1,0.984615384615385,1,65,67,25.9305171063356,0.210610174451593,cs,alert,alarm,poplach,alarm,poplachalarm,neznalost
alej,755.896588222424,826.440672116076,-0.109832066305581,0.173263395393715,30.6068345607646,42.0643789340362,0.0977088024908502,0.138890490207665,84,82,3,1,69,61,73,72,1,1,0.945205479452055,0.847222222222222,84,82,3,1,71,71,73,72,1,1,0.972602739726027,0.986111111111111,68,61,70.5440838936523,0.283095461699296,cs,corner,alley,roh,alej,rohalej,zvýšit
