target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,de_cue,de_target,de_word_combo,unrelated_de_cue
abdominal,1151.8146033033,1060.5466796087,1.50205713269902,1.37622175115762,44.0620984820581,37.5759904971587,0.140601988487437,0.139871177129772,224,211,5,3,121,103,213,199,3,3,0.568075117370892,0.517587939698492,226,213,3,1,85,194,215,201,1,1,0.395348837209302,0.965174129353234,121,103,-91.2679236945987,-0.125835381541402,de,spinal,abdominal,spinal,abdominal,spinalabdominal,sänger
abend,554.578984452416,576.900633729612,-0.695222553518075,-0.596683770156948,16.2546737187741,20.7842529557468,0.0527149688813794,0.0597063890409388,210,186,5,5,194,172,196,176,2,1,0.989795918367347,0.977272727272727,211,185,4,6,192,170,197,175,1,2,0.974619289340102,0.971428571428571,193,172,22.321649277196,0.0985387833611263,de,night,evening,nacht,abend,nachtabend,sahne
abfahrt,576.595049510985,634.40912905124,-0.579335617275159,-0.361362900948739,10.1949505137045,16.8789704145056,0.0339181871837185,0.0570738506711756,213,201,2,1,202,186,202,187,0,1,1,0.994652406417112,212,202,3,0,192,186,202,188,0,0,0.95049504950495,0.98936170212766,202,186,57.8140795402545,0.21797271632642,de,arrival,departure,ankunft,abfahrt,ankunftabfahrt,schweinefleisch
abfall,598.381666667416,619.309028905997,-0.496019715190496,-0.411543931032326,16.2812559924396,19.7219065100043,0.0575596480716363,0.0641114313640474,216,182,0,1,204,173,205,173,0,0,0.995121951219512,1,215,182,1,1,198,168,205,173,0,0,0.965853658536585,0.971098265895954,204,173,20.9273622385814,0.0844757841581706,de,trash,garbage,müll,abfall,müllabfall,landung
abfassung,879.665085464237,920.832730430178,0.57490932473326,0.713014526544834,39.3200786400608,44.2110931749109,0.148433852724142,0.149003865538612,175,186,2,1,117,115,165,181,2,0,0.709090909090909,0.6353591160221,177,185,0,2,149,179,167,181,0,0,0.892215568862275,0.988950276243094,117,115,41.1676449659404,0.138105201811574,de,reading,writing,lesung,abfassung,lesungabfassung,gewinn
absatz,611.284647578348,630.769709180821,-0.491731336381796,-0.352565187401211,13.8019162994158,12.1745219605033,0.0453150234621687,0.0446082696479508,238,208,3,3,227,196,228,196,1,1,0.995614035087719,1,238,208,3,3,225,195,228,196,1,1,0.986842105263158,0.994897959183674,227,196,19.4850616024735,0.139166148980585,de,section,paragraph,abschnitt,absatz,abschnittabsatz,dankbar
abschluss,621.15568042076,656.248978731882,-0.399853537305393,-0.308442177336911,13.1423858162382,18.1257680233604,0.0444480393780765,0.0579795811856329,205,206,2,2,194,188,196,189,1,1,0.989795918367347,0.994708994708995,205,205,2,3,192,186,196,188,1,2,0.979591836734694,0.98936170212766,194,188,35.0932983111227,0.0914113599684814,de,opening,closure,öffnung,abschluss,öffnungabschluss,hund
absicht,640.383223067361,626.853335139078,-0.368082525042689,-0.453547801085706,14.922953446388,17.9378560837869,0.0482325262065951,0.0455570814539703,213,206,4,1,195,185,196,189,1,0,0.994897959183674,0.978835978835979,212,205,5,2,189,185,196,188,1,1,0.964285714285714,0.984042553191489,195,185,-13.5298879282838,-0.0854652760430172,de,purpose,intention,zweck,absicht,zweckabsicht,original
absichtlich,685.72181444645,742.030593609792,-0.112835980767419,-0.0429726659186709,15.2461665080132,15.0196458733914,0.0543816914008123,0.0424494885894314,207,237,1,1,195,219,197,221,0,0,0.989847715736041,0.990950226244344,206,236,2,2,189,218,196,220,1,1,0.964285714285714,0.990909090909091,194,219,56.3087791633419,0.069863314848748,de,accidentally,intentionally,versehentlich,absichtlich,versehentlichabsichtlich,brücke
absolvent,727.197074870214,773.895715793151,-0.0580877298274635,0.0441477994031251,21.4106757152058,18.6930791224296,0.0675372465988632,0.0547754787352865,199,200,3,2,187,190,190,193,1,0,0.984210526315789,0.984455958549223,199,199,3,3,177,192,190,192,1,1,0.931578947368421,1,187,190,46.6986409229369,0.102235529230589,de,diploma,graduate,diplom,absolvent,diplomabsolvent,schlüssel
abstimmung,691.497631066641,668.427869340794,-0.151441760095345,-0.29541007074313,19.3837554020556,16.4646543384223,0.0720052929550678,0.0405935026960864,217,214,2,5,206,199,207,202,0,0,0.995169082125604,0.985148514851485,217,214,2,5,199,199,207,202,0,0,0.961352657004831,0.985148514851485,206,199,-23.0697617258471,-0.143968310647785,de,majority,vote,mehrheit,abstimmung,mehrheitabstimmung,lampe
absurd,755.129411051852,736.845321204904,0.0131021338858601,0.0581811775407308,17.9485325086833,18.1435207170181,0.0558430225755382,0.0729701309630412,184,208,0,2,163,165,180,196,0,1,0.905555555555556,0.841836734693878,184,208,0,2,179,187,180,196,0,1,0.994444444444444,0.954081632653061,163,165,-18.284089846948,0.0450790436548707,de,ridiculous,absurd,lächerlich,absurd,lächerlichabsurd,daten
abwesenheit,740.299022728727,801.516191704458,-0.0389897864694936,0.15315046523794,21.9258604025731,21.6030120204606,0.0642622191504148,0.0676438996222099,186,206,1,4,176,193,182,197,1,1,0.967032967032967,0.979695431472081,185,204,2,6,177,168,181,195,2,3,0.977900552486188,0.861538461538462,176,193,61.2171689757316,0.192140251707434,de,presence,absence,anwesenheit,abwesenheit,anwesenheitabwesenheit,tätowierung
administrativ,910.016408161811,943.168715190546,0.607215237154503,0.79209028193451,26.118307341243,33.2507268446896,0.075804239122663,0.103053141215446,216,178,5,3,196,158,207,167,2,3,0.946859903381642,0.946107784431138,216,180,5,1,201,157,207,169,2,1,0.971014492753623,0.928994082840237,196,158,33.1523070287346,0.184875044780006,de,management,administrative,management,administrativ,managementadministrativ,was
adrenalin,749.90340116874,806.080448867982,0.0358748353385465,0.282556076039598,22.5949532241298,18.0229170043078,0.07212167394289,0.0580850863188545,191,210,3,3,172,176,175,193,1,1,0.982857142857143,0.911917098445596,190,210,4,3,153,186,174,193,2,1,0.879310344827586,0.963730569948187,172,176,56.1770476992416,0.246681240701051,de,hormone,adrenaline,hormon,adrenalin,hormonadrenalin,malen
adresse,584.068661625192,644.369060622992,-0.513396524997813,-0.370414265299054,16.3548554822527,17.1770148925875,0.0735002969032783,0.0571985885514534,219,217,0,0,198,200,198,205,0,0,1,0.975609756097561,217,216,2,1,192,199,197,204,1,1,0.974619289340102,0.975490196078431,198,198,60.3003989978004,0.142982259698759,de,number,address,nummer,adresse,nummeradresse,wahr
agentur,606.616335153116,662.07110733306,-0.494138165973539,-0.31840938343269,11.4917332097328,21.5048785305096,0.0326569990204235,0.0580186690297049,206,183,1,3,185,177,187,178,0,0,0.989304812834225,0.99438202247191,206,183,1,3,182,136,187,178,0,0,0.973262032085562,0.764044943820225,185,177,55.4547721799444,0.175728782540849,de,firm,agency,firma,agentur,firmaagentur,baron
aktivieren,637.084767444202,659.958525414965,-0.339557100600091,-0.327945149415737,15.363351737437,16.3094671224123,0.045725249437688,0.0458192645973586,194,185,1,3,172,177,174,177,0,0,0.988505747126437,1,194,185,1,3,172,156,174,177,0,0,0.988505747126437,0.88135593220339,172,177,22.8737579707634,0.0116119511843538,de,trigger,activate,auslöser,aktivieren,auslöseraktivieren,analytiker
aktivität,635.005956694303,640.216670158942,-0.418592569461863,-0.363520787520734,13.1684565749705,18.2317245404813,0.0398029404929051,0.0596625236015154,270,204,3,1,254,191,255,193,0,1,0.996078431372549,0.989637305699482,272,204,1,1,247,190,255,193,0,1,0.968627450980392,0.984455958549223,254,191,5.21071346463896,0.0550717819411293,de,active,activity,aktiv,aktivität,aktivaktivität,soldat
akzent,681.631842010954,716.963160803252,-0.209491504104435,-0.10783810089794,18.3361153530654,18.1133078774071,0.0533259726039983,0.0562000680064722,218,223,4,1,195,199,201,201,1,0,0.970149253731343,0.990049751243781,219,223,3,1,198,143,202,201,0,0,0.98019801980198,0.711442786069652,195,199,35.3313187922979,0.101653403206495,de,voice,accent,stimme,akzent,stimmeakzent,kavallerie
akzeptieren,619.862458562885,664.361712116763,-0.473980921330275,-0.251282201389886,14.3157762987898,16.4197825798667,0.0396635978423571,0.0536435993460568,195,207,0,4,182,199,183,200,0,0,0.994535519125683,0.995,195,208,0,3,177,193,183,200,0,0,0.967213114754098,0.965,181,198,44.499253553878,0.222698719940389,de,refuse,accept,ablehnen,akzeptieren,ablehnenakzeptieren,spinne
alarm,576.13171613529,640.167922615794,-0.57002566274719,-0.398208841909709,11.3085037834276,21.5808531681855,0.0373641628992135,0.0667047943530531,158,175,1,3,155,168,155,170,0,0,1,0.988235294117647,158,174,1,4,146,162,155,169,0,1,0.941935483870968,0.958579881656805,155,168,64.0362064805039,0.171816820837481,de,alert,alarm,warnen,alarm,warnenalarm,ignoranz
alibi,837.10641176848,860.358956208144,0.287521031622377,0.446572171450846,25.7236323144706,28.3100434938136,0.0718470819773611,0.0798124335650046,185,207,4,3,136,137,177,196,0,2,0.768361581920904,0.698979591836735,185,207,4,3,174,190,177,196,0,2,0.983050847457627,0.969387755102041,136,137,23.2525444396639,0.159051139828469,de,motive,alibi,motiv,alibi,motivalibi,unvernünftig
alien,651.960335494496,742.396570723607,-0.317207629737643,0.0708084147505426,15.9449772204969,21.000326309119,0.048519554484608,0.0715700109996219,171,232,5,4,155,198,163,215,3,2,0.950920245398773,0.92093023255814,174,233,2,3,122,210,166,216,0,1,0.734939759036145,0.972222222222222,155,198,90.4362352291104,0.388016044488186,de,ufo,alien,ufo,alien,ufoalien,tasche
allgemein,596.650989996784,601.538098034281,-0.493642476459264,-0.45133483900555,11.9959057260019,11.9280608957215,0.0420589881578705,0.0357291867847798,212,216,4,2,200,204,200,205,1,0,1,0.995121951219512,211,216,5,2,197,198,198,205,3,0,0.994949494949495,0.965853658536585,200,204,4.88710803749677,0.0423076374537139,de,naturally,generally,natürlich,allgemein,natürlichallgemein,wind
alpha,696.504697916462,681.89950594877,-0.213799786248775,-0.126747702256405,16.7756166865948,17.0377654101943,0.0486881256316403,0.0550033424972769,205,190,5,6,192,168,197,181,2,2,0.974619289340102,0.92817679558011,206,191,4,5,191,175,197,182,2,1,0.969543147208122,0.961538461538462,192,168,-14.6051919676921,0.0870520839923697,de,bravo,alpha,bravo,alpha,bravoalpha,industrie
ameise,677.948317459283,695.569380118466,-0.252713742726214,-0.124529509924165,20.2375207970279,16.7332307175245,0.06635932750804,0.0616040997332089,204,188,1,5,189,171,193,181,1,2,0.979274611398964,0.94475138121547,204,188,1,5,179,179,193,182,1,1,0.927461139896373,0.983516483516483,189,171,17.6210626591836,0.128184232802049,de,bee,ant,biene,ameise,bieneameise,fenster
amerika,602.852904763828,621.131810682958,-0.539625861744035,-0.478381793013918,15.6822904267596,15.9122503260058,0.0473671010390517,0.045964075243742,174,222,1,4,169,206,169,208,0,1,1,0.990384615384615,173,221,2,5,165,176,169,208,0,1,0.976331360946746,0.846153846153846,168,206,18.27890591913,0.0612440687301168,de,africa,america,afrika,amerika,afrikaamerika,anker
analyse,627.494170332509,627.389459659265,-0.352553270820248,-0.327886812632757,13.446541879979,12.0498930920325,0.0474039807818802,0.039708458003802,196,208,2,1,182,192,185,194,0,0,0.983783783783784,0.989690721649485,196,208,2,1,145,190,185,194,0,0,0.783783783783784,0.979381443298969,182,191,-0.104710673243858,0.0246664581874908,de,autopsy,analysis,autopsie,analyse,autopsieanalyse,mädchen
anfrage,621.047624308957,624.286279962457,-0.408066874535985,-0.409752018052982,16.225779319515,14.109568864002,0.0506752336468393,0.047555817080531,196,197,2,1,181,180,182,180,0,1,0.994505494505495,1,196,197,2,1,175,176,182,180,0,1,0.961538461538462,0.977777777777778,181,180,3.23865565350036,-0.00168514351699744,de,demand,request,anforderung,anfrage,anforderunganfrage,unglücklich
anführer,666.884074861196,716.838797750995,-0.32421143464563,-0.0906508267656016,17.6468481584322,16.5633981928533,0.0490312107152609,0.0545911765821288,199,197,1,2,187,178,188,180,0,1,0.99468085106383,0.988888888888889,199,196,1,3,186,177,188,179,0,2,0.98936170212766,0.988826815642458,187,178,49.9547228897994,0.233560607880029,de,member,leader,mitglied,anführer,mitgliedanführer,schrecklich
angeln,598.796287809,631.872274514995,-0.490064953029063,-0.456430493683147,12.8764894873522,15.8012526057247,0.0437145930604693,0.0405778631996846,224,218,4,1,206,204,207,206,2,0,0.995169082125604,0.990291262135922,224,217,4,2,179,201,207,205,2,1,0.864734299516908,0.980487804878049,205,204,33.0759867059948,0.0336344593459163,de,hunting,fishing,jagd,angeln,jagdangeln,leise
angemessen,676.016557599662,674.72572254204,-0.176154511678882,-0.133187939546466,15.5446417780334,14.9708931909337,0.0495164223049837,0.0612022717510472,225,210,4,1,217,187,219,189,1,0,0.990867579908676,0.989417989417989,225,210,4,1,212,173,219,189,1,0,0.968036529680365,0.915343915343915,217,186,-1.29083505762208,0.0429665721324158,de,fair,reasonable,fair,angemessen,fairangemessen,charme
angenehm,697.444314603877,684.812154267264,-0.222119013321567,-0.227796014811892,22.2090395232171,17.8918202587965,0.0641482662752358,0.0518592135817694,187,202,3,3,178,188,179,190,1,0,0.994413407821229,0.989473684210526,187,200,3,5,177,183,179,189,1,1,0.988826815642458,0.968253968253968,178,188,-12.6321603366135,-0.00567700149032571,de,comfortable,pleasant,gemütlich,angenehm,gemütlichangenehm,kandidat
angreifer,740.521924327556,734.607683934243,0.0420061055259877,0.0282017652215723,23.581944642142,17.6371588351047,0.0739547747249194,0.0552804344731185,197,208,5,2,185,193,189,198,2,1,0.978835978835979,0.974747474747475,199,209,3,1,188,189,190,199,1,0,0.989473684210526,0.949748743718593,185,193,-5.91424039331389,-0.0138043403044154,de,victim,attacker,opfer,angreifer,opferangreifer,konferenz
anklage,652.853481084444,712.075695175637,-0.261082457105297,-0.0451738050593684,15.3152518055103,19.6035010331646,0.0525496942700379,0.0688124249715575,210,208,0,1,186,188,193,195,0,1,0.963730569948187,0.964102564102564,210,208,0,1,185,192,193,195,0,1,0.958549222797927,0.984615384615385,185,187,59.2222140911928,0.215908652045929,de,complaint,accusation,beschwerde,anklage,beschwerdeanklage,lesen
annahme,719.185185832896,658.329551179906,-0.119984648576864,-0.266028398268705,18.2250894149094,15.0918694977059,0.0576419089707257,0.0484879144121034,247,231,2,2,226,207,229,210,1,0,0.986899563318777,0.985714285714286,247,232,2,1,216,206,229,209,1,1,0.943231441048035,0.985645933014354,226,207,-60.8556346529905,-0.146043749691841,de,conclusion,assumption,fazit,annahme,fazitannahme,treffen
antwort,578.328893250582,579.716670336903,-0.643723544676311,-0.544624914927656,12.9582975273004,14.0628488986041,0.0416649813600073,0.0698871843229483,188,191,1,3,178,182,179,182,0,1,0.994413407821229,1,186,189,3,5,176,178,178,181,1,2,0.98876404494382,0.983425414364641,178,182,1.38777708632108,0.0990986297486549,de,answer,reply,antworten,antwort,antwortenantwort,auge
anzeigen,615.818482753714,603.44007820536,-0.463122784964879,-0.470767007650796,15.2775747586574,11.1825283878664,0.0480155610552768,0.0401057326823767,212,193,2,3,203,179,204,180,1,0,0.995098039215686,0.994444444444444,212,193,2,3,202,169,204,180,1,0,0.990196078431373,0.938888888888889,203,179,-12.3784045483543,-0.00764422268591708,de,point,indicate,punkt,anzeigen,punktanzeigen,trick
anziehen,630.039678686496,618.001402057837,-0.430507300908033,-0.377053410283528,17.0949494293321,13.5715985428468,0.0491816023262968,0.0681113016498685,184,210,1,3,174,194,178,197,0,1,0.97752808988764,0.984771573604061,184,209,1,4,177,187,178,196,0,2,0.99438202247191,0.954081632653061,174,194,-12.0382766286591,0.0534538906245055,de,attention,attract,aufmerksamkeit,anziehen,aufmerksamkeitanziehen,schlacht
arbeit,537.265518717908,576.443347591838,-0.75844108431812,-0.669370194393743,12.6465875335399,18.747259578131,0.0360052238494456,0.0462306454291118,195,201,4,3,187,187,187,187,2,0,1,1,197,201,2,3,182,181,189,187,0,0,0.962962962962963,0.967914438502674,187,187,39.1778288739293,0.0890708899243768,de,job,work,job,arbeit,jobarbeit,fluss
