target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,el_cue,el_target,el_word_combo
άγαλμα,597.336346157015,558.49795742977,-0.427134648605682,-0.661683330048955,29.6061908792452,17.1273056273238,0.10022517923975,0.0545737656026451,53,52,0,0,52,47,52,47,0,0,1,1,53,52,0,0,52,46,52,47,0,0,1,0.978723404255319,52,47,-38.8383887272448,-0.234548681443273,el,monument,statue,μνημείο,άγαλμα,μνημείοάγαλμα
άγνωστος,604.536816365046,542.724347011856,-0.468883308434516,-0.616240429793238,30.2522300082845,21.9404194818293,0.0917628404072619,0.0824705787386397,51,51,0,1,49,49,50,49,0,0,0.98,1,51,51,0,1,50,48,50,49,0,0,1,0.979591836734694,49,49,-61.8124693531901,-0.147357121358722,el,anonymous,unknown,ανώνυμος,άγνωστος,ανώνυμοςάγνωστος
άδικος,558.698306093949,567.155777835696,-0.557803295867995,-0.568744183246011,20.8026037536311,28.1362466611883,0.0858459986581154,0.0928180072930728,51,51,0,0,49,45,49,45,0,0,1,1,51,50,0,1,47,42,49,44,0,1,0.959183673469388,0.954545454545455,49,45,8.45747174174653,-0.0109408873780164,el,injustice,unfair,αδικία,άδικος,αδικίαάδικος
άθλημα,558.651490198203,564.463780006044,-0.547883127933411,-0.555933417492671,18.1321043045451,16.6946902953956,0.0649044289908121,0.0756293791566724,53,51,1,0,51,50,51,51,1,0,1,0.980392156862745,54,51,0,0,51,49,52,51,0,0,0.980769230769231,0.96078431372549,51,50,5.81228980784044,-0.00805028955925968,el,hobby,sport,χόμπι,άθλημα,χόμπιάθλημα
άλλοθι,727.901789484254,814.321512806514,0.041297468021104,0.291014229958192,31.8547071655265,36.4720285302748,0.099879726976943,0.115577207556345,52,53,0,1,38,39,49,49,0,1,0.775510204081633,0.795918367346939,51,54,1,0,48,48,48,50,1,0,1,0.96,38,39,86.4197233222599,0.249716761937088,el,motive,alibi,κίνητρο,άλλοθι,κίνητροάλλοθι
άλμα,607.22310202732,631.758999992253,-0.3571424233806,-0.285416600402028,22.0531270321829,31.360536508333,0.078492144311456,0.12898013573623,52,50,2,0,49,45,50,47,1,0,0.98,0.957446808510638,52,50,2,0,44,46,50,47,1,0,0.88,0.978723404255319,49,45,24.5358979649332,0.0717258229785713,el,climb,jump,αναρρίχηση,άλμα,αναρρίχησηάλμα
άλογο,618.834434789121,542.058840906712,-0.304140098542373,-0.615391268081668,41.0534968087209,18.0915270569854,0.16836310397467,0.079892777825839,50,50,0,1,46,44,46,47,0,1,1,0.936170212765957,50,50,0,1,41,44,46,47,0,1,0.891304347826087,0.936170212765957,46,44,-76.7755938824088,-0.311251169539295,el,donkey,horse,γάιδαρος,άλογο,γάιδαροςάλογο
άλφα,599.444711103241,647.059510219591,-0.402914813926104,-0.280485370014629,26.211269438111,39.3994146971752,0.103210279893065,0.124945831405246,50,54,0,0,45,49,47,50,0,0,0.957446808510638,0.98,50,54,0,0,45,47,47,50,0,0,0.957446808510638,0.94,45,49,47.6147991163493,0.122429443911475,el,bravo,alpha,μπράβο,άλφα,μπράβοάλφα
άμμος,561.918959990726,551.017520004186,-0.524170261490659,-0.66738601813676,13.5716101713442,19.4493201689469,0.0655406603024772,0.0580713193398802,51,51,0,0,50,50,50,50,0,0,1,1,51,51,0,0,48,46,50,50,0,0,0.96,0.92,50,50,-10.9014399865406,-0.143215756646101,el,mud,sand,λάσπη,άμμος,λάσπηάμμος
άνευ αξίας,899.579893613076,915.615809523136,0.726654804656562,0.787836701742287,35.6990608853289,40.3752223684274,0.115011355296458,0.14043471090133,54,53,2,1,48,42,52,47,1,1,0.923076923076923,0.893617021276596,55,54,1,0,52,47,53,48,0,0,0.981132075471698,0.979166666666667,47,42,16.0359159100595,0.061181897085725,el,useless,worthless,άχρηστος,άνευ αξίας,άχρηστοςάνευ αξίας
