target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,fa_cue,fa_target,fa_word_combo,unrelated_fa_cue
آب میوه,603.150933349831,580.860750028296,-0.502441450373632,-0.512551876989887,59.4535924015357,46.2853051510645,0.18194587022923,0.185016049441012,16,6,0,0,15,4,15,4,0,0,1,1,16,6,0,0,14,4,15,4,0,0,0.933333333333333,1,15,4,-22.2901833215351,-0.0101104266162552,fa,milk,juice,شیر,آب میوه,شیرآب میوه,داخلی
آبی,482.627538467451,699.15729994276,-0.744406416475158,-0.480161698420963,19.0604565962322,116.323195309121,0.0564256043839317,0.21791960849414,14,11,0,0,13,10,13,10,0,0,1,1,14,11,0,0,13,10,13,10,0,0,1,1,13,10,216.529761475309,0.264244718054194,fa,brown,blue,رنگ قهوه ای,آبی,رنگ قهوه ایآبی,عذاب
آخر,528.122999993785,569.063499994911,-0.65503184044468,-0.265723885088837,45.816817484041,45.4978103749166,0.192317340606162,0.204891155662843,12,10,0,0,12,10,12,10,0,0,1,1,12,10,0,0,12,6,12,10,0,0,1,0.6,12,10,40.9405000011259,0.389307955355842,fa,first,last,اول,آخر,اولآخر,لانه
آدرنالین,652.909999955638,796.630933314314,-0.106401394404031,0.253968166557158,46.807491425409,49.8605492483747,0.127225371017954,0.174106393288357,13,17,1,0,13,15,13,17,1,0,1,0.88235294117647,13,17,1,0,10,17,13,17,1,0,0.769230769230769,1,13,15,143.720933358676,0.360369560961189,fa,hormone,adrenaline,هورمون,آدرنالین,هورمونآدرنالین,رنگ کردن
آدم فضایی,587.636437488419,542.076250001108,-0.313095514682781,-0.485009923462503,62.216777045093,41.2478740850745,0.233480786397603,0.146678622360214,20,8,1,0,16,8,16,8,0,0,1,1,20,8,1,0,16,7,16,8,0,0,1,0.875,16,8,-45.5601874873116,-0.171914408779722,fa,ufo,alien,بشقاب پرنده,آدم فضایی,بشقاب پرندهآدم فضایی,جیب
آدم کشی,574.299399990245,638.045000027423,-0.444658662546353,-0.245124162968207,52.1249756922934,69.1999107282376,0.213385666822318,0.264622840627982,10,5,0,0,10,5,10,5,0,0,1,1,10,5,0,0,10,5,10,5,0,0,1,1,10,5,63.7456000371774,0.199534499578146,fa,suicide,murder,خودکشی کردن,آدم کشی,خودکشی کردنآدم کشی,تاثیرگذار
آدمکش,614.344636340591,786.40575002584,-0.441486684553699,0.24779535921422,47.5408227580349,93.2433875864093,0.124149789451051,0.301119478437332,12,12,0,0,11,12,11,12,0,0,1,1,12,12,0,0,11,11,11,12,0,0,1,0.916666666666667,11,12,172.061113685249,0.689282043767919,fa,killer,murderer,قاتل,آدمکش,قاتلآدمکش,پژوهش
آذر,475.291750177804,590.581384637832,-1.04402466916353,-0.426287448417939,22.1791016078211,59.6317294128704,0.0796054696091155,0.201963558478568,12,13,0,0,12,13,12,13,0,0,1,1,12,13,0,0,12,11,12,13,0,0,1,0.846153846153846,12,13,115.289634460028,0.617737220745593,fa,september,october,آبان,آذر,آبانآذر,پادزهر
آرام,556.057571376809,724.469571426877,-0.664133738632603,-0.0123514775293152,25.018788333855,116.03419013259,0.122944336505072,0.393838150509298,14,7,0,0,14,7,14,7,0,0,1,1,14,7,0,0,14,7,14,7,0,0,1,1,14,7,168.412000050068,0.651782261103288,fa,quiet,calm,ساکت,آرام,ساکتآرام,جاسوسی
آرزو,508.100615391011,529.181571430005,-0.720373799199851,-0.56115897611621,23.5321475148179,20.0518159357638,0.0930127245072166,0.0944529733213091,14,14,1,0,13,14,13,14,1,0,1,1,14,14,1,0,12,13,13,14,1,0,0.923076923076923,0.928571428571429,13,14,21.0809560389941,0.159214823083641,fa,desire,wish,میل,آرزو,میلآرزو,تمرین
آره,509.190333507515,606.466769243033,-0.730091900550101,-0.365480808527793,36.4226898190927,58.4493321761035,0.124041220317403,0.264623034910728,10,15,0,0,9,13,9,13,0,0,1,1,10,15,0,0,9,13,9,13,0,0,1,1,9,13,97.2764357355178,0.364611092022308,fa,okay,yeah,باشه,آره,باشهآره,بررسی کردن
آزمایش,507.779833335492,508.670615394042,-0.787106570169308,-0.646545414776063,31.5667847135664,30.5355983486855,0.107404637681945,0.110518865328372,18,15,0,0,18,13,18,13,0,0,1,1,18,15,0,0,18,13,18,13,0,0,1,1,18,13,0.890782058550485,0.140561155393245,fa,hearing,trial,شنوایی,آزمایش,شنواییآزمایش,هدر دادن
آسان,638.670444456346,550.33074996796,-0.228909276171729,-0.416552879762062,66.8156439927852,55.6721680122791,0.370371114432713,0.176894274830699,9,16,1,3,9,16,9,16,0,0,1,1,9,16,1,3,9,15,9,16,0,0,1,0.9375,9,16,-88.3396944883865,-0.187643603590333,fa,impossible,easy,غیر ممکن,آسان,غیر ممکنآسان,سینما
