target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,sl_cue,sl_target,sl_word_combo,unrelated_sl_cue
Julija,,535.700000047684,,-0.19912139743627,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,sl,,,,,,
absurden,623.499999976135,836.783499970216,-0.636861430546252,-0.144257335531107,,322.816499982144,,0.68879743740778,1,2,0,0,1,2,1,2,0,0,1,1,1,2,0,0,1,2,1,2,0,0,1,1,1,2,213.283499994081,0.492604095015145,sl,ridiculous,absurd,nesmiseln,absurden,nesmiselnabsurden,podatki
adijo,440.258999976213,670.560000000056,-0.799287525486974,0.146582735216313,,75.760000000009,,0.0467915635100035,1,3,0,0,1,2,1,3,0,0,1,0.666666666666667,1,3,0,0,1,3,1,3,0,0,1,1,1,2,230.301000023843,0.945870260703287,sl,hello,bye,zdravo,adijo,zdravoadijo,ledvica
adrenalin,655.312250047704,340.900000047637,-0.447228742106765,-1.25786553396241,84.6455930421763,,0.273340162329606,,4,1,0,0,4,1,4,1,0,0,1,1,4,1,0,0,4,1,4,1,0,0,1,1,4,1,-314.412250000067,-0.810636791855644,sl,hormone,adrenaline,hormon,adrenalin,hormonadrenalin,slikati
agencija,502.25000008344,482.838000000047,-0.64867425588172,-0.739514905853799,62.4500000595875,,0.19368085988812,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,2,1,2,1,0,0,1,1,2,1,-19.4120000833935,-0.0908406499720789,sl,firm,agency,podjetje,agencija,podjetjeagencija,baron
aktivirajte,,674.699999997858,,-0.536650926981362,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,sl,trigger,activate,sprožite,aktivirajte,sprožiteaktivirajte,skrb
aktivnost,534,,-0.663345764613381,,34.3985949325703,,0.297020909892912,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,,sl,active,activity,aktiven,aktivnost,aktivenaktivnost,vojak
alarm,688.078499976139,613.24999996426,-0.129257251007589,-0.554755667737724,226.521499999973,165.650000011897,0.548594343190803,0.630014117123176,2,2,0,0,2,2,2,2,0,0,1,1,2,2,0,0,2,2,2,2,0,0,1,1,2,2,-74.8285000118781,-0.425498416730135,sl,alert,alarm,opozorilo,alarm,opozoriloalarm,nevednost
alibi,830.666666571022,822.000000095344,0.130240157191158,1.73528851863103,123.34722438364,,0.231673635534487,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,-8.66666647567797,1.60504836143987,sl,motive,alibi,motiv,alibi,motivalibi,nerazumno
amerika,437.774999904679,624.119999999995,-0.809174400071345,0.506653292924621,,,,,1,1,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,1,186.345000095316,1.31582769299597,sl,africa,america,afrika,amerika,afrikaamerika,sidro
analiza,558.649999964226,570.799999713898,-0.516008965602278,0.0965498862073655,10.2499999642025,,0.419431274595785,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,2,1,2,1,0,0,1,1,2,1,12.1499997496725,0.612558851809643,sl,autopsy,analysis,obdukcija,analiza,obdukcijaanaliza,dekle
aretirati,600.193333297619,642.753333337295,-0.407023492382284,-0.110829884828194,129.909314665656,77.8954276217148,0.406930168599808,0.195701056676315,3,3,0,0,3,3,3,3,0,0,1,1,3,3,0,0,3,3,3,3,0,0,1,1,3,3,42.560000039676,0.29619360755409,sl,punish,arrest,kaznovati,aretirati,kaznovatiaretirati,nikoli
arhitekt,603.700000000012,471.600000000093,-0.540780443245697,-0.530434321037659,20.7000000000115,,0.127546571564286,,2,1,0,0,2,1,2,1,0,0,1,1,2,1,0,0,2,1,2,1,0,0,1,1,2,1,-132.099999999919,0.0103461222080379,sl,engineer,architect,inženir,arhitekt,inženirarhitekt,nenadoma
arterija,899.026666587179,1206.09999971394,0.745070689348324,1.21852391342628,327.382150883757,,1.48802427899008,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,307.073333126761,0.473453224077952,sl,vein,artery,žila,arterija,žilaarterija,viski
asistirati,571.995999999985,763.150000035763,-0.592581637480197,0.434050902643253,,57.7499999403955,,0.012190859596187,1,2,0,0,1,2,1,2,0,0,1,1,1,2,0,0,1,2,1,2,0,0,1,1,1,2,191.154000035778,1.02663254012345,sl,help,assist,pomagati,asistirati,pomagatiasistirati,črpalka
atlantik,717,917.666666603085,0.0682001137844452,0.612902877998135,,197.94872508481,,0.383462611353606,1,3,0,0,1,3,1,3,0,0,1,1,1,3,0,0,1,3,1,3,0,0,1,1,1,3,200.666666603085,0.54470276421369,sl,pacific,atlantic,pacifik,atlantik,pacifikatlantik,usta
atmosfera,,751.775000029768,,0.301821752944559,,138.487137644287,,0.56173475651831,,4,,0,,4,,4,,0,,1,,4,,0,,4,,4,,0,,1,,4,,,sl,environment,atmosphere,okolje,atmosfera,okoljeatmosfera,dragocen
avto,590.142666651324,663.399999988091,-0.572508702188059,-0.159893919607301,36.6356377689636,,0.283790161645746,,3,2,0,0,3,1,3,2,0,0,1,0.5,3,2,0,0,3,2,3,2,0,0,1,1,3,1,73.257333336767,0.412614782580758,sl,vehicle,car,vozilo,avto,voziloavto,zdravo
avtobus,581.524749993987,,-0.44257167049141,,120.8142561548,,0.434502688955285,,5,,0,,4,,5,,0,,0.8,,5,,0,,3,,5,,0,,0.6,,4,,,,sl,train,bus,vlak,avtobus,vlakavtobus,vnuk
avtocesta,,546.305000000546,,-0.437190334118489,,103.685000000551,,0.245094876151827,,2,,0,,2,,2,,0,,1,,2,,0,,2,,2,,0,,1,,2,,,sl,road,highway,cesta,avtocesta,cestaavtocesta,vsota
avtoriteta,557.532749976177,,-0.141441391170583,,39.9137537637107,,0.291967483049594,,4,,0,,4,,4,,0,,1,,4,,0,,4,,4,,0,,1,,4,,,,sl,jurisdiction,authority,oblast,avtoriteta,oblastavtoriteta,tumor
babica,429.837000190746,,-0.994294299452065,,,,,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,0,,1,,1,,,,sl,grandfather,grandmother,dedek,babica,dedekbabica,privlačen
bar,480.658333349362,475.49999995227,-0.804214233193306,-1.00112865365548,16.8624062619418,69.099999952363,0.223012976379206,0.243950143553389,3,2,0,0,3,2,3,2,0,0,1,1,3,2,0,0,3,2,3,2,0,0,1,1,3,2,-5.15833339709167,-0.196914420462169,sl,club,bar,klub,bar,klubbar,opisati
bataljon,,631.153333357186,,-0.393447949781046,,136.888529024586,,0.397045385938782,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,sl,regiment,battalion,regiment,bataljon,regimentbataljon,cimet
batman,411.576666605077,601.991000005975,-1.21239146182169,-0.284596659884449,66.2220599107451,,0.271248540843657,,3,1,0,0,3,1,3,1,0,0,1,1,3,1,0,0,3,1,3,1,0,0,1,1,3,1,190.414333400898,0.927794801937239,sl,superman,batman,superman,batman,supermanbatman,počitek
beda,487.604333428666,652.258000011934,-0.672245919575346,0.29526422512248,48.7346952515152,124.357999964239,0.210124221236908,0.5573652220196,3,2,0,0,3,2,3,2,0,0,1,1,3,2,0,0,3,2,3,2,0,0,1,1,3,2,164.653666583268,0.967510144697826,sl,poverty,misery,revščina,beda,revščinabeda,astronavt
bejzbol,655.001750017887,911.490399998776,-0.220791461260537,0.718761991124973,55.0486535119515,160.092189354406,0.159754145232039,0.355631889542413,5,5,0,0,4,5,5,5,0,0,0.8,1,5,5,0,0,5,5,5,5,0,0,1,1,4,5,256.488649980888,0.93955345238551,sl,stadium,baseball,stadion,bejzbol,stadionbejzbol,angel
bend,,1367.0255000179,,2.71355553447157,,767.974499970225,,3.23901694192318,,2,,0,,2,,2,,0,,1,,2,,0,,2,,2,,0,,1,,2,,,sl,orchestra,band,orkester,bend,orkesterbend,džungla
bes,,669.376333347289,,-0.0418181286236779,,142.013863322842,,0.74413771902305,,3,,0,,3,,3,,0,,1,,3,,0,,3,,3,,0,,1,,3,,,sl,anger,rage,jeza,bes,jezabes,banana
