target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,zh_hk_cue,zh_hk_target,zh_hk_word_combo
一口,504.669333333266,690.550666718479,-0.57855021546098,-0.194151659148804,33.443232404181,61.2000013894943,0.164418303256817,0.148320340667717,12,20,0,0,6,15,8,16,0,0,0.75,0.9375,12,20,0,0,6,14,8,16,0,0,0.75,0.875,6,15,185.881333385214,0.384398556312176,zh_hk,drop,sip,幾滴,一口,幾滴一口
一百,501.088909084754,658.816769228935,-0.715700416356392,-0.00417816535447574,23.5853870680398,61.5799897203464,0.0758555715834557,0.312138806793356,23,16,0,1,22,13,22,15,0,0,1,0.866666666666667,23,16,0,1,21,14,22,15,0,0,0.954545454545455,0.933333333333333,22,13,157.727860144181,0.711522251001917,zh_hk,thousand,hundred,一千,一百,一千一百
一般,458.71419999763,576.165374998576,-0.949909435474506,-0.563275044602537,24.6782869447228,51.3042152029321,0.092195866526769,0.145089844532855,11,18,1,0,10,16,10,16,0,0,1,1,12,18,0,0,10,10,10,16,0,0,1,0.625,10,16,117.451175000946,0.386634390871968,zh_hk,naturally,generally,通常,一般,通常一般
七月,480.834077040564,548.041444450156,-0.791779288784081,-0.52111359286562,33.1917057136017,46.4455532077115,0.0941469180412619,0.165421582605415,15,12,1,0,13,10,13,10,0,0,1,1,15,12,1,0,13,9,13,10,0,0,1,0.9,13,9,67.2073674095921,0.270665695918461,zh_hk,june,july,六月,七月,六月七月
三個,727.764000050157,747.369000004405,0.24021998264149,0.0259550285160152,119.051464637946,122.535134768744,0.718218376205105,0.280783910077338,11,21,1,1,9,18,9,18,0,0,1,1,11,21,1,1,8,18,9,18,0,0,0.888888888888889,1,9,18,19.6049999542479,-0.214264954125475,zh_hk,one,three,一條,三個,一條三個
三倍,459.957333532203,670.678600013495,-0.848659077179614,-0.220965591696704,28.6274979570987,68.1080832889064,0.10758830078927,0.146808862776206,8,11,0,0,6,10,6,10,0,0,1,1,8,11,0,0,6,9,6,10,0,0,1,0.9,6,10,210.721266481291,0.627693485482911,zh_hk,double,triple,雙倍,三倍,雙倍三倍
三角,726.815849995671,588.969333332433,0.226784084644729,-0.400880673928441,97.6693921528233,34.3125699769172,0.446226257963786,0.0713191427465765,23,14,1,3,20,9,20,10,0,1,1,0.9,23,16,1,1,20,11,20,11,0,0,1,1,20,9,-137.846516663238,-0.62766475857317,zh_hk,circle,triangle,圓形,三角,圓形三角
上校,568.823833345205,760.291666668649,-0.638797013199975,-0.0296518787889399,42.2471937761406,77.4965788558226,0.113703924446518,0.244214370747464,16,13,0,0,13,9,15,10,0,0,0.866666666666667,0.9,16,13,0,0,15,9,15,10,0,0,1,0.9,12,9,191.467833323444,0.609145134411035,zh_hk,general,colonel,將軍,上校,將軍上校
上臂,624.464000011084,726.703857149721,-0.124808292045202,0.368664639787099,28.5650024968098,130.33396835931,0.119602390476567,0.559819679758471,22,11,4,0,20,7,21,8,2,0,0.952380952380952,0.875,23,11,3,0,20,8,22,8,1,0,0.909090909090909,1,20,7,102.239857138637,0.493472931832301,zh_hk,hand,arm,手掌,上臂,手掌上臂
上面,525.188153841425,653.024833328901,-0.68366461062834,-0.344920810013398,45.1773426666891,103.773357611104,0.0890401227102332,0.290876455986382,15,16,0,0,13,12,13,13,0,0,1,0.923076923076923,15,16,0,0,11,9,13,13,0,0,0.846153846153846,0.692307692307692,13,12,127.836679487475,0.338743800614942,zh_hk,lower,upper,下方,上面,下方上面
不公平,665.312466661007,629.010181821978,-0.394625182671152,-0.253268103819252,115.737522004774,52.8078150872215,0.325514087719189,0.164499969275424,18,13,1,0,15,11,15,11,0,0,1,1,18,13,1,0,14,11,15,11,0,0,0.933333333333333,1,15,11,-36.3022848390287,0.1413570788519,zh_hk,injustice,unfair,不公義,不公平,不公義不公平
不同,537.052624996561,557.602923106026,-0.565092574448277,-0.461041851870833,38.5020453588842,50.8431884037655,0.115824383456305,0.148929082465139,20,17,0,0,16,13,16,13,0,0,1,1,20,17,0,0,15,13,16,13,0,0,0.9375,1,16,13,20.5502981094654,0.104050722577444,zh_hk,similar,different,相似,不同,相似不同
不在場證據,767.434266673962,724.59524999233,0.255782651801209,-0.00469108634591778,46.7584993153786,79.8878614382984,0.12876245824557,0.216924438633921,16,13,0,0,15,8,15,8,0,0,1,1,16,13,0,0,14,8,15,8,0,0,0.933333333333333,1,15,8,-42.8390166816322,-0.260473738147127,zh_hk,motive,alibi,動機,不在場證據,動機不在場證據
不斷,590.446666664494,572.588071426673,-0.443071585158637,-0.410566557452879,45.6238182861258,54.7644153398279,0.125826898355496,0.194804278966048,26,18,0,1,21,14,21,14,0,0,1,1,26,18,0,1,20,14,21,14,0,0,0.952380952380952,1,21,14,-17.8585952378207,0.0325050277057589,zh_hk,always,constantly,總是,不斷,總是不斷
不適,764.089666648816,637.059555557525,0.303189531032766,-0.204858795307996,114.47945253879,57.2247329012016,0.35152942179916,0.173765960811495,14,24,0,1,12,18,12,18,0,0,1,1,14,23,0,2,8,17,12,18,0,0,0.666666666666667,0.944444444444444,12,18,-127.030111091291,-0.508048326340762,zh_hk,uncomfortable,unpleasant,唔舒服,不適,唔舒服不適
