target_word_unique,avgRT_related,avgRT_unrelated,avgZ_RT_related,avgZ_RT_unrelated,seRT_related,seRT_unrelated,seZ_RT_related,seZ_RT_unrelated,target_answeredN_related,target_answeredN_unrelated,target_timeoutN_related,target_timeoutN_unrelated,target_correct_keep_related,target_correct_keep_unrelated,target_answeredN_keep_related,target_answeredN_keep_unrelated,target_timeoutN_keep_related,target_timeoutN_keep_unrelated,target_prop_correct_keep_related,target_prop_correct_keep_unrelated,cue_answeredN_related,cue_answeredN_unrelated,cue_timeoutN_related,cue_timeoutN_unrelated,cue_correct_keep_related,cue_correct_keep_unrelated,cue_answeredN_keep_related,cue_answeredN_keep_unrelated,cue_timeoutN_keep_related,cue_timeoutN_keep_unrelated,cue_prop_correct_keep_related,cue_prop_correct_keep_unrelated,target_sample_keep_related,target_sample_keep_unrelated,avgRT_prime,avgZ_prime,language,en_cue,en_target,zh_cue,zh_target,zh_word_combo,unrelated_zh_cue
hiv,1253.40303333688,1307.47122221827,2.13709603309424,2.44917981987567,100.062405504128,114.411389019727,0.344021739811868,0.503673957746082,57,54,2,2,30,18,47,46,2,1,0.638297872340426,0.391304347826087,58,55,1,1,45,47,48,47,1,0,0.9375,1,30,18,54.0681888813838,0.312083786781429,zh,aids,hiv,艾滋,hiv,艾滋hiv,不适
一刻,608.941249991368,725.238613648143,-0.244723441812433,0.236890599837678,24.1259386070373,40.4033895874072,0.108237960602991,0.153675531425022,54,58,1,1,44,44,46,49,1,0,0.956521739130435,0.897959183673469,54,58,1,1,29,46,46,49,1,0,0.630434782608696,0.938775510204082,44,44,116.297363656775,0.481614041650111,zh,half,quarter,半点,一刻,半点一刻,怀疑
一百,689.420021316483,667.892560012031,-0.0168958125808616,0.0281826383804606,63.0938455050216,29.6351606276871,0.240377468426486,0.130935745622188,55,64,0,0,47,50,48,51,0,0,0.979166666666667,0.980392156862745,54,64,1,0,11,51,47,51,1,0,0.234042553191489,1,47,50,-21.5274613044522,0.0450784509613222,zh,thousand,hundred,千个,一百,千个一百,意义
一直,603.139518510792,680.804478262243,-0.323448255830507,-0.0178090991589548,38.0823548059954,45.6223665137968,0.132715286436813,0.145348998151309,62,56,1,1,54,46,56,48,0,0,0.964285714285714,0.958333333333333,61,56,2,1,49,46,55,48,1,0,0.890909090909091,0.958333333333333,54,46,77.6649597514518,0.305639156671553,zh,always,constantly,总是,一直,总是一直,利润
一级棒,654.185163276002,925.724090905427,-0.0795541768626826,0.900688911513218,38.2694465548337,64.8130852809804,0.155053783420021,0.182910354834763,56,61,1,1,49,44,49,53,0,0,1,0.830188679245283,55,60,2,2,47,51,48,52,1,1,0.979166666666667,0.980769230769231,49,44,271.538927629424,0.9802430883759,zh,bravo,alpha,好极了,一级棒,好极了一级棒,通话
一餐,730.615488368139,820.96977272278,0.135361563113625,0.455382540646858,59.2578532509528,47.5685208581312,0.185386862115415,0.164385967708084,63,62,0,2,43,44,53,53,0,1,0.811320754716981,0.830188679245283,63,61,0,3,51,51,53,52,0,2,0.962264150943396,0.980769230769231,43,44,90.3542843546411,0.320020977533233,zh,food,meal,食物,一餐,食物一餐,西方
丁,811.779974352483,956.067937513689,0.590718892725821,1.15430730604649,42.2810643368668,72.4753033332032,0.167378436238462,0.250247008349646,57,55,0,2,39,32,52,52,0,1,0.75,0.615384615384615,57,56,0,1,24,53,52,53,0,0,0.461538461538462,1,39,32,144.287963161206,0.56358841332067,zh,ping,ding,声纳,丁,声纳丁,可能
七月,603.771235286781,659.448340000422,-0.300316060907247,-0.126057358414537,18.4807410534627,33.5900651413213,0.0573928419627793,0.111155574656072,59,59,0,1,51,50,53,50,0,0,0.962264150943396,1,58,58,1,2,8,48,53,49,0,1,0.150943396226415,0.979591836734694,51,50,55.6771047136409,0.17425870249271,zh,june,july,季夏,七月,季夏七月,魅力
三,803.800500005057,751.027935059507,0.498781486860446,0.223420193095248,57.2173675517041,34.4919373234952,0.216762093512268,0.111484647902076,67,94,4,0,58,77,61,89,4,0,0.950819672131147,0.865168539325843,55,94,16,0,37,82,50,89,15,0,0.74,0.921348314606742,58,77,-52.7725649455499,-0.275361293765199,zh,one,three,一,三,一三,外孙
三角,593.203999991856,711.200340923821,-0.397322714425797,0.255438679465385,25.6391117631246,42.1275838345907,0.11490403045876,0.165384508141493,58,54,0,4,50,45,52,46,0,0,0.961538461538462,0.978260869565217,58,55,0,3,50,44,52,46,0,0,0.961538461538462,0.956521739130435,50,44,117.996340931966,0.652761393891182,zh,circle,triangle,圆圈,三角,圆圈三角,尝试
三重,735.003263152216,977.063159999213,0.316740518615699,1.08677816169777,40.1171866377876,74.1349540066451,0.172083001782901,0.281763999778,57,64,1,0,38,25,51,59,0,0,0.745098039215686,0.423728813559322,57,64,1,0,50,52,51,59,0,0,0.980392156862745,0.88135593220339,38,25,242.059896846996,0.770037643082075,zh,double,triple,双倍,三重,双倍三重,崇高
上,540.919808518628,712.772064513741,-0.583909938820124,0.0877473032356525,22.7035392261477,28.8851118903411,0.0756327445287931,0.124214626447748,59,76,1,1,47,62,50,72,1,1,0.94,0.861111111111111,60,77,0,0,44,73,51,73,0,0,0.862745098039216,1,47,62,171.852255995114,0.671657242055777,zh,down,up,下,上,下上,机智
上校,679.220639994143,730.943047641835,-0.00750005067663424,0.128308799868007,33.5379427990195,39.5089864519987,0.117251357045267,0.14815780806244,60,54,0,1,50,43,52,44,0,1,0.961538461538462,0.977272727272727,60,55,0,0,51,29,52,45,0,0,0.980769230769231,0.644444444444444,50,42,51.7224076476921,0.135808850544642,zh,general,colonel,将军,上校,将军上校,声纳
