"word","class","avgRT","avgZ_RT","samplesize","n_answered","seRT","seZ_RT","accuracy","Z2.5_avgRT","Z2.5_avgZ_RT","Z2.5_samplesize","Z2.5_n_answered","Z2.5_seRT","Z2.5_seZ_RT","Z2.5_accuracy","Z3.0_avgRT","Z3.0_avgZ_RT","Z3.0_samplesize","Z3.0_n_answered","Z3.0_seRT","Z3.0_seZ_RT","Z3.0_accuracy"
"aag","nonword",591.65060335289,-0.299522234759919,895,917,6.83646771360255,0.0248009830011002,0.976008724100327,583.80201576654,-0.337357618483348,888,888,5.80184191724404,0.0197876809243397,1,584.823629214222,-0.33083832634556,890,890,5.84566564460307,0.0202737074046401,1
"aaral","nonword",649.616264972755,-0.0800976419026695,985,1020,7.39326819871511,0.0244044775474921,0.965686274509804,634.684695561214,-0.142202164053354,969,969,6.23170431758357,0.018847676163915,1,637.20218069614,-0.12739895576375,974,974,6.32765825691137,0.019881396023135,1
"abandon","word",668.366027927116,-0.00858835787684119,1074,1119,8.43960998573809,0.0279597235528924,0.959785522788204,640.866521483288,-0.105435657736576,1047,1047,6.36502990577068,0.0205682993245776,1,647.838259463111,-0.0821662691218786,1056,1056,6.79718234691852,0.0218113112975095,1
"abdominal","word",779.955722404496,0.405116419712875,879,954,10.9723020587866,0.0370528390554556,0.921383647798742,731.970598315295,0.225963899618997,834,834,7.85888670688716,0.0253959633703659,1,747.326023468123,0.278807355872726,852,852,8.68908794010146,0.0277579542585885,1
"abduct","word",729.152820630366,0.258382058997125,931,1076,9.84708443409448,0.0348171971194444,0.865241635687732,691.760455164926,0.104709436228525,892,892,7.56518458748209,0.0251466732791114,1,699.299607981362,0.136867323398667,903,903,7.84472428301741,0.0266497837931366,1
"abduyl","nonword",620.415875649558,-0.219492001096749,982,1010,6.9546962403643,0.0210706791025157,0.972277227722772,610.083298652635,-0.24989664833242,974,974,5.84215740126102,0.0182075300048564,1,611.464042917593,-0.243731501287865,976,976,5.91261888800341,0.0186864739422765,1
"abhoarsely","nonword",725.108197206866,0.192687747710643,928,997,10.986824518886,0.036156022813249,0.930792377131394,677.923651303143,0.0216777021578914,889,889,7.8812126963341,0.0233880864804136,1,686.4740200318,0.0521763196049255,899,899,8.30563295902009,0.0250461523108597,1
"ability","word",597.857300200352,-0.286539550193661,986,1008,7.02092638943141,0.0243484854480945,0.978174603174603,582.047541150402,-0.347059798849063,972,972,5.37145434658719,0.0177183430842209,1,586.282487203953,-0.331043507770247,977,977,5.73327476297439,0.0190244766696017,1
"about","word",563.656242209122,-0.426574996172094,995,1023,6.73901646733453,0.0241444069619735,0.972629521016618,549.825704984344,-0.48000721458883,983,983,5.24185280942011,0.018516907929251,1,552.152660241845,-0.470097950810504,986,986,5.45353767701468,0.0193268033881935,1
"abruse","nonword",822.654755178113,0.622230864519238,730,924,11.9567407509473,0.0420857248943233,0.79004329004329,771.361395615344,0.42220835853227,685,685,9.09596195257673,0.0292158961561514,1,787.43180369326,0.480514689907487,703,703,9.75082912667705,0.03154941059089,1
"absence","word",626.073472458332,-0.183456397762055,999,1042,6.95468042956221,0.0241718408093851,0.95873320537428,613.362555313659,-0.235676385577136,985,985,6.06765956997065,0.0198538891913848,1,617.024543418166,-0.221156868832075,990,990,6.26798842287299,0.0207903984421748,1
"absenceinal","nonword",901.636116909896,0.874582900927158,881,1007,15.259295048863,0.0525858802366074,0.874875868917577,771.304484884562,0.40207531018055,761,761,10.2848017753195,0.0308964480107288,1,810.029558309473,0.531815385049537,806,806,11.5247303780461,0.0347247705162341,1
"abserts","nonword",829.262169084119,0.681993337148581,757,984,12.6307978438647,0.0433317024788598,0.769308943089431,765.047581423316,0.435909846474497,700,700,9.1978945636509,0.02955644651649,1,780.681706532352,0.497183218135316,719,719,9.82493941562054,0.031963685104602,1
"absolutely","word",626.231330097959,-0.169171817803806,927,945,8.22396281922691,0.0305011915458306,0.980952380952381,600.752302429121,-0.274428292097759,906,906,5.89505212439536,0.0190064388040426,1,604.862347253819,-0.261110201187689,910,910,6.24708730501768,0.0200586752366992,1
"absurd","word",685.13517530809,0.0589269093432834,907,1014,8.06420706398605,0.030040540742855,0.894477317554241,667.68964229988,-0.0195362921389199,889,889,6.70974981087694,0.0228176484861989,1,671.481696433539,0.00145059651210879,896,896,6.82760388054717,0.0239838588102167,1
"abust","nonword",792.6869389648,0.512281373701305,639,949,12.9538338432049,0.0459695267433819,0.673340358271865,739.784403651472,0.313024767521866,602,602,9.54366730318566,0.0313615705144811,1,755.889204877319,0.364824747384354,615,615,10.5419894532194,0.0338454915293323,1
"accent","word",607.421032138889,-0.257730610426167,924,960,7.72990682734848,0.0258885814386742,0.9625,590.09371803711,-0.317579176615908,909,909,6.16309915936951,0.020865433732241,1,598.376961500891,-0.291215437235911,917,917,6.89460934701897,0.0226748150939882,1
"accep","nonword",734.882640528057,0.262232665194861,897,985,8.74132791945949,0.0304118540745672,0.910659898477157,714.131989227777,0.181815176928124,877,877,7.36148772643009,0.0244137715732933,1,720.337902319335,0.20450719781778,885,885,7.64659029853033,0.0254812208386093,1
"accept","word",545.443635146559,-0.469974743768236,751,767,6.71247720087809,0.0237324831680504,0.979139504563233,535.964821229967,-0.507060858278961,744,744,5.58218147030226,0.0190580613982333,1,538.207463800395,-0.498931189284335,746,746,5.79016464869149,0.0198561069557575,1
"acchan","nonword",684.696590808131,0.0443798110679959,860,891,10.959954945353,0.0428962094283544,0.965207631874299,642.316319775165,-0.149072858702179,829,829,7.47843855890042,0.0230000669594804,1,646.112275023946,-0.135336540489358,833,833,7.72195678061768,0.0238957233271202,1
"acciably","nonword",803.77431853501,0.506625538247083,901,993,10.9509004222859,0.0367199507863398,0.907351460221551,750.519714455366,0.308046494897523,851,851,7.58671765803573,0.0233591846510313,1,765.616414269703,0.359317645439762,869,869,8.41525576287712,0.0258245218138445,1
"accidenshily","nonword",858.495117886064,0.711019361461045,933,993,11.8166964959885,0.0378612856117865,0.939577039274924,794.036785035153,0.462669692973622,856,856,9.41047334969647,0.0267497627128191,1,818.351944744723,0.543275699243019,887,887,10.2250817534164,0.0294887264390205,1
"accident","word",574.258119603516,-0.374661059175974,995,1022,6.57887741820324,0.0246123661769816,0.973581213307241,559.643331982338,-0.435046405120269,982,982,5.10600013527524,0.0165514626188721,1,561.389202242535,-0.428371250586497,984,984,5.25229547624959,0.0171783021051446,1
"accidentally","word",653.137436079018,-0.0811508334035457,970,986,8.25027550637191,0.0278757622516538,0.983772819472617,630.170825762257,-0.173279295073765,947,947,6.33891490849306,0.0195088216129569,1,635.147850101565,-0.151971400688106,954,954,6.60858676910418,0.0209687372774448,1
"accist","nonword",803.402582245025,0.52488090169859,845,1018,11.12024793629,0.0362103676708396,0.830058939096267,755.023168113856,0.356929513569156,803,803,7.98034280256255,0.0251981531718628,1,765.092374995518,0.395035122218365,816,816,8.41953813321988,0.0269308947365903,1
"accompany","word",661.872701382645,-0.0422995373849162,941,974,8.07035070750777,0.0268088563852945,0.96611909650924,641.533677874559,-0.114881308664806,922,922,6.42903157055249,0.0207141861371556,1,648.325072043215,-0.0913770623300573,930,930,6.88360659282026,0.0221434043549423,1
"accred","nonword",726.902663300093,0.229443131130227,891,973,11.5971546033686,0.0405404474393913,0.915724563206578,666.603462545317,0.00450355133598976,841,841,7.38706609736499,0.0240600780939597,1,680.633540888635,0.0515764196987906,856,856,8.30775073932655,0.0265401675422398,1
"accrossity","nonword",854.728137229363,0.690813706971783,787,935,12.8359845453142,0.0386180572622914,0.841711229946524,798.920229933296,0.497186874998508,735,735,10.1627747712424,0.0291618877795896,1,818.658575959221,0.563328780655318,757,757,11.0272388258432,0.0315536243792343,1
"accusahadev","nonword",658.831488704062,-0.0889530137188797,974,997,7.65062312597837,0.0241485121173052,0.976930792377131,642.236174137282,-0.145665830755112,959,959,6.21375314161448,0.0192098948235781,1,647.558746111593,-0.12795331983018,965,965,6.61474724842753,0.020410370457995,1
"accusation","word",764.092617285004,0.362107742616131,891,964,10.9462119134048,0.0373040607778626,0.924273858921162,716.287444707627,0.187878718516594,850,850,7.48734725535612,0.0251607968766494,1,725.184266205515,0.229477823395645,864,864,7.80557625479917,0.027108198382702,1
"acgrandpany","nonword",732.57269093415,0.201691148174297,980,1001,10.2218403355373,0.030370108573757,0.979020979020979,693.360232680456,0.0740069625111482,946,946,7.34606686433867,0.0209097073163333,1,701.705531501195,0.101843806946926,956,956,7.78680202919087,0.0224722902044549,1
"acknowlally","nonword",893.964283315043,0.856553035558485,833,915,13.8235471389308,0.0451010605982934,0.910382513661202,808.739292715524,0.553747972170371,755,755,9.42459163070405,0.0292514583000259,1,830.25083397229,0.632071088717957,783,783,10.3207239229011,0.0317472889733649,1
"acless","nonword",760.533329775268,0.295371837246073,843,913,11.174196135584,0.0347803093976561,0.923329682365827,710.703698748881,0.12266829808827,800,800,8.23286655768043,0.0235126468738773,1,728.749522057872,0.174285888506632,816,816,9.44384434367497,0.0263722691679485,1
"acsh","nonword",625.533726726986,-0.205163240162818,988,1010,7.24168898971227,0.0233731239270745,0.978217821782178,612.630013298861,-0.249285459678344,978,978,5.88790335554421,0.0186260357561033,1,614.761778577892,-0.243350905489452,980,980,6.06596043657928,0.0190553260810824,1
