"word","class","avgRT","avgZ_RT","samplesize","n_answered","seRT","seZ_RT","accuracy","Z2.5_avgRT","Z2.5_avgZ_RT","Z2.5_samplesize","Z2.5_n_answered","Z2.5_seRT","Z2.5_seZ_RT","Z2.5_accuracy","Z3.0_avgRT","Z3.0_avgZ_RT","Z3.0_samplesize","Z3.0_n_answered","Z3.0_seRT","Z3.0_seZ_RT","Z3.0_accuracy"
"abandonner","word",633.107971932256,-0.189971417596847,171,174,18.8228557176696,0.0659590490160987,0.982758620689655,607.037701798825,-0.28866689997786,167,167,13.6341317654984,0.0441840468462844,1,615.025572621451,-0.271453806569557,168,168,15.7315815624659,0.0471728708805738,1
"abdolle","nonword",652.860953505205,-0.119376768901467,157,160,17.9386778381252,0.0517028543047588,0.98125,652.860953505205,-0.119376768901467,157,157,17.9386778381252,0.0517028543047588,1,652.860953505205,-0.119376768901467,157,157,17.9386778381252,0.0517028543047588,1
"abdominal","word",729.55016376914,0.309903733482805,149,161,22.4251791087878,0.0754963267619697,0.925465838509317,714.679417697971,0.253613789413255,147,147,19.4584201860427,0.0650991222660261,1,714.679417697971,0.253613789413255,147,147,19.4584201860427,0.0650991222660261,1
"abeille","word",593.714606467641,-0.333710614379468,186,187,12.7310694567313,0.0480800005458314,0.994652406417112,590.291717853888,-0.360413880259391,185,185,12.3287612497231,0.0401994822155297,1,590.291717853888,-0.360413880259391,185,185,12.3287612497231,0.0401994822155297,1
"able","nonword",786.154495217237,0.506126648547779,355,390,18.6329566102006,0.085870973522845,0.91025641025641,712.13514356384,0.153944654763315,326,326,11.8772652680986,0.0434906691022035,1,729.743208363739,0.225751534466199,335,335,13.170949354533,0.0484920249237719,1
"aboutissement","word",774.439303282931,0.398477089325575,153,162,23.5744757140837,0.085359819576522,0.944444444444444,735.251941113779,0.234070417725638,146,146,17.5497502595088,0.0606502672039021,1,739.437166004192,0.252365604214621,147,147,17.925385647549,0.0629533299752066,1
"abri","word",639.921910820291,-0.134495060464468,157,178,16.6556453449625,0.0649336365208172,0.882022471910112,626.997110382349,-0.199113197080685,154,154,14.8203293604855,0.0542274931144303,1,637.163333325549,-0.15874709060906,156,156,16.5312453356471,0.060622041192968,1
"absence","word",583.8286145791,-0.41660828473899,151,157,17.0195843542322,0.0552140733490959,0.961783439490446,573.954138676292,-0.439043428555392,150,150,13.9549388824178,0.0507880178543333,1,583.8286145791,-0.41660828473899,151,151,17.0195843542322,0.0552140733490959,1
"absolument","word",668.356277186324,0.0187215885932583,162,164,21.8667526373435,0.102183196522987,0.98780487804878,623.825741316688,-0.206708008225304,155,155,14.1303361619485,0.0485578671686065,1,632.728088561061,-0.167425401474468,157,157,15.2963009623647,0.0553593729434754,1
"absurde","word",640.551587508985,-0.116868389642988,144,148,16.6488696400523,0.0717979887530224,0.972972972972973,626.435039446067,-0.176456159992952,142,142,13.3404299228121,0.0585783462406639,1,626.435039446067,-0.176456159992952,142,142,13.3404299228121,0.0585783462406639,1
"accent","word",602.71810526092,-0.326124304052929,152,155,17.7483662236571,0.0664564002168485,0.980645161290323,593.57358940172,-0.358900269976559,151,151,15.312329381494,0.0581958049180157,1,593.57358940172,-0.358900269976559,151,151,15.312329381494,0.0581958049180157,1
"accepter","word",559.417958964433,-0.455864356297874,173,178,14.2283537884405,0.04536833227046,0.971910112359551,551.49643546893,-0.478704024738445,172,172,11.8882035117,0.0394285107389972,1,551.49643546893,-0.478704024738445,172,172,11.8882035117,0.0394285107389972,1
"accident","word",581.801342100566,-0.370236657846216,152,154,17.5159197696427,0.0748597386975468,0.987012987012987,558.431601346849,-0.489917416558928,148,148,12.7040236227247,0.0445752683134355,1,561.583744961331,-0.467313188546245,149,149,13.0062249365637,0.0497115191726817,1
"accidentellement","word",785.752958045182,0.530529659865929,143,153,26.5199921039047,0.0947601053730815,0.934640522875817,724.192127822745,0.294881762854578,133,133,16.5829902327269,0.057243493251423,1,743.644474455658,0.364098272026735,137,137,19.2942006303288,0.065293279983864,1
"accigate","nonword",692.307170100535,0.00177807285935766,194,204,16.8050698785041,0.0475666125319742,0.950980392156863,692.307170100535,0.00177807285935766,194,194,16.8050698785041,0.0475666125319742,1,692.307170100535,0.00177807285935766,194,194,16.8050698785041,0.0475666125319742,1
"accipontelletriques","nonword",835.128629755856,0.644229122662789,158,161,31.3396547513461,0.100395085588033,0.981366459627329,737.949588040388,0.313837198643525,142,142,18.4936118446423,0.0649272939307823,1,754.812791107528,0.379711818905836,146,146,20.6193068618064,0.0710693597068134,1
"accla","nonword",635.641319291433,-0.188103479644563,166,169,18.7591170326808,0.0655814402511395,0.982248520710059,616.274463429132,-0.252231529443936,164,164,12.9825706246484,0.0476875004309271,1,616.274463429132,-0.252231529443936,164,164,12.9825706246484,0.0476875004309271,1
"accompagner","word",582.422069620365,-0.343388558093055,158,159,12.1602259073596,0.0478985866735691,0.993710691823899,578.429261147824,-0.370005182328788,157,157,11.559410305112,0.0400769394095263,1,578.429261147824,-0.370005182328788,157,157,11.559410305112,0.0400769394095263,1
"accompaliste","nonword",994.925866154153,1.47886448164316,127,149,30.3859045070779,0.111929216261542,0.852348993288591,898.573727286823,0.945031422452425,99,99,26.7424080477369,0.07860746879241,1,926.862110104465,1.11450551669595,109,109,26.6595084176604,0.0880275947589153,1
"accord","word",547.746407524389,-0.502440983620555,173,176,11.352187393335,0.0460205088194662,0.982954545454545,547.746407524389,-0.502440983620555,173,173,11.352187393335,0.0460205088194662,1,547.746407524389,-0.502440983620555,173,173,11.352187393335,0.0460205088194662,1
"accour","nonword",749.705323321391,0.241918221181068,193,217,24.6664780091699,0.0857656421465256,0.889400921658986,691.956780561345,0.00586358523758727,180,180,17.6930814817869,0.0581599635206642,1,712.799895166514,0.0968242018338033,186,186,19.8473482909578,0.0671590347944633,1
"accusation","word",651.785148152015,-0.0590113051640432,162,164,17.3260148514285,0.0655634346976648,0.98780487804878,640.403264155183,-0.120813181855715,159,159,15.9884442150068,0.0557665835386443,1,643.780743754213,-0.104150405667903,160,160,16.2432243567294,0.0578678326176387,1
"achegonnette","nonword",726.603338057934,0.257891895900956,155,157,22.0828794715269,0.0787177221058431,0.987261146496815,685.933159175435,0.102744854898682,147,147,17.0169017779075,0.0601686935569564,1,700.10062932526,0.152486806400972,150,150,18.7340275588297,0.0655122958597477,1
"achelan","nonword",658.118531700975,-0.0671090346088943,183,186,19.8574467011051,0.0717354130814511,0.983870967741935,634.099951673769,-0.151731029882305,180,180,13.3331260165089,0.0501767307672531,1,637.731001664522,-0.136634323430348,181,181,13.7474520970339,0.0521324747067842,1
"acheminal","nonword",803.99105548465,0.565462030911821,128,144,24.3817041380116,0.100114232170169,0.888888888888889,761.652622706082,0.343395121684593,119,119,19.9108862510654,0.0727065763334737,1,769.341386082554,0.397870972109781,122,122,20.2658867956807,0.0774729292262977,1
